m = 4 cpu = 4
N  t         dt
12 0.0001108 9.75499871861e-06
24 0.0003493 1.60440019945e-05
48 0.0020264 0.000159714244825
96 0.0168362 0.000102593177161
192 0.1746105 0.000355739300612
384 1.5879261 0.000475703363452

m = 9 cpu = 1
12 0.0001557 2.75537656229e-05
24 0.001397 0.000214623857015
48 0.0104252 0.00295611328606
96 0.0961848 0.00146370104871
